"AnimalID","SampleReason","UrineNumber","BoxID","BoxPosition","NewBox","NewPosition"
"DRF015","PostPair10",32765,82,44,1,79
"SOF002","PreEviction16",32727,82,45,1,80
"SOF002","PreEviction16",32747,82,47,1,81
"SOF001","PostPair10",32808,82,49,2,1
"RSF008","PostPair10",32809,82,56,2,2
"DRF015","PostPair10",32789,82,60,2,3
"RSF008","PostPair10",32715,82,61,2,4
"SOF002","PostEviction14",32766,82,62,2,5
"SOF001","PostPair10",32792,82,63,2,6
"ARF028","FirstConc",32815,82,65,2,7
"DRF015","PostPair10",32716,82,67,2,8
"SOF006","PreEviction16",32717,82,69,2,9
"RSF008","PostPair10",32767,82,72,2,10
"ARF028","FirstConc",32746,82,76,2,11
"RSF008","PostPair10",32788,83,4,2,12
"SOF001","PostPair10",32718,83,6,2,13
"SOF006","PostEviction14",32760,83,7,2,14
"ARF028","PostPair10",32769,83,14,2,15
"ARF028","FirstConc",32865,83,18,2,16
"DRF015","RA",32863,83,20,2,17
"SOF002","PostEviction14",32963,83,23,2,18
"ARF028","FirstConc",32900,83,24,2,19
"PPF008","FirstConc",33028,83,33,2,20
"TMF002","RA",33013,83,37,2,21
"DRF015","FirstConc",32981,83,40,2,22
"ARF028","FirstConc",32936,83,42,2,23
"SOF006","PostEviction14",32958,83,53,2,24
"RSF008","RA",32862,83,56,2,25
"SOF001","RA",32866,83,57,2,26
"SOF001","RA",33074,83,60,2,27
"RSF008","RA",33076,83,62,2,28
"Z3F043","RA",33014,83,65,2,29
"PPF008","FirstConc",32923,83,72,2,30
"SOF006","RA",32864,83,79,2,31
"DRF015","RA",33077,84,10,2,32
"TMF002","RA",33330,84,23,2,33
"Z3F043","FirstConc",33328,84,28,2,34
"TMF002","RA",33119,84,40,2,35
"RSF008","RA",33280,84,42,2,36
"SOF006","RA",33186,84,49,2,37
"DRF015","FirstConc",33182,84,65,2,38
"Z3F043","RA",33118,84,67,2,39
"SOF001","RA",33288,84,77,2,40
"DRF015","FirstConc",33281,85,3,2,41
"SOF006","RA",33287,85,5,2,42
"Z3F043","FirstConc",33527,85,12,2,43
"SOF006","RA",33498,85,38,2,44
"RSF008","RA",33491,85,46,2,45
"Z3F043","FirstConc",33444,85,62,2,46
"SOF001","RA",33489,85,70,2,47
"TMF002","RA",33636,86,10,2,48
"SOF001","RA",33715,86,62,2,49
"RSF008","RA",33714,86,77,2,50
"SOF006","RA",33719,87,9,2,51
"RSF008","RA",33894,87,21,2,52
"SOF001","RA",34054,87,35,2,53
"TMF002","RA",34036,87,41,2,54
"RSF008","RA",34085,87,42,2,55
"SOF006","RA",34058,87,63,2,56
"TMF002","RA",33844,88,2,2,57
"SOF006","RA",33900,88,6,2,58
"SOF001","RA",33905,88,8,2,59
"TMF002","FirstConc",34489,88,16,2,60
"RSF008","RA",34300,88,18,2,61
"TMF002","FirstConc",34407,88,23,2,62
"DRF015","PreEviction16",34459,88,26,2,63
"TMF002","PreEviction16",34142,88,33,2,64
"DRF015","PreEviction16",34385,88,35,2,65
"TMF002","FirstConc",34379,88,43,2,66
"TMF002","FirstConc",34462,88,45,2,67
"Z3F043","PreEviction16",34243,88,49,2,68
"DRF015","PreEviction16",34538,88,53,2,69
"Z3F043","PreEviction16",34128,88,55,2,70
"TMF002","RA",34240,88,56,2,71
"TMF002","FirstConc",34337,88,66,2,72
"RSF008","PreEviction16",34383,88,67,2,73
"SOF001","RA",34341,88,68,2,74
"Z3F043","PreEviction16",34336,89,1,2,75
"Z3F043","PostEviction14",34380,89,9,2,76
"TMF002","FirstConc",34437,89,10,2,77
"RSF008","PostEviction14",34623,89,16,2,78
"Z3F043","PostEviction14",34564,89,27,2,79
"RSF008","RA",34786,89,38,2,80
"RSF008","RA",34712,89,41,2,81
"RSF008","RA",34981,89,55,3,1
"TMF002","PostEviction14",34570,89,65,3,2
"DRF015","PostEviction14",34630,89,73,3,3
"SOF001","RA",34751,89,80,3,4
"RSF008","RA",34593,89,81,3,5
"DRF015","PreEviction16",34594,90,3,3,6
"SOF001","RA",34550,90,4,3,7
"SOF001","RA",34925,90,7,3,8
"RSF008","RA",35238,90,13,3,9
"SOF001","RA",35265,90,18,3,10
"SOF001","RA",35109,90,46,3,11
"RSF008","RA",35442,91,6,3,12
"ARF028","PostEviction14",35840,91,52,3,13
"ARF028","PreEviction16",35678,91,55,3,14
"ARF028","PreEviction16",35609,91,70,3,15
"SOF001","RA",35858,92,9,3,16
"SOF001","RA",35988,92,36,3,17
"SOF001","PostEviction14",36029,92,77,3,18
"SOF001","RA",36156,93,8,3,19
"ARF028","PreEviction16",35794,93,10,3,20
"SOF001","FirstConc",36261,93,29,3,21
"MBF004","PostEviction14",36494,93,52,3,22
"SOF001","FirstConc",36361,93,53,3,23
"VGF002","PostPair10",36466,93,64,3,24
"MBF004","PreEviction16",36465,93,71,3,25
"SOF001","FirstConc",36462,93,78,3,26
"DRF004","PostPair10",36464,93,80,3,27
"ORF017","PostPair10",36474,94,1,3,28
"VGF002","PostPair10",36496,94,4,3,29
"DRF004","PostEviction14",36498,94,11,3,30
"VGF002","FirstConc",36555,94,38,3,31
"MBF004","RA",36653,94,47,3,32
"ORF017","RA",36651,94,52,3,33
"ORF017","PostPair10",36505,94,53,3,34
"ORF017","PostPair10",36532,94,54,3,35
"VGF002","FirstConc",36588,94,58,3,36
"ORF017","PostPair10",36560,94,62,3,37
"VGF002","FirstConc",36618,94,63,3,38
"ORF017","PostPair10",36596,94,65,3,39
"VGF002","FirstConc",36523,94,77,3,40
"VGF002","FirstConc",36650,94,79,3,41
"DRF004","PostEviction14",36796,95,41,3,42
"MBF004","FirstConc",36988,95,67,3,43
"ORF017","RA",36846,96,4,3,44
"MBF004","PostEviction14",36793,96,7,3,45
"ORF017","RA",37246,96,19,3,46
"MBF004","RA",37080,96,57,3,47
"ORF017","RA",37054,97,6,3,48
"KGF002","PostPair10",37493,97,21,3,49
"ERF002","PostPair10",37443,97,25,3,50
"ERF002","PostPair10",37488,97,40,3,51
"KGF002","PostPair10",37461,97,46,3,52
"ERF002","PostPair10",37473,97,55,3,53
"KGF002","PostPair10",37438,98,7,3,54
"ERF002","PostPair10",37532,98,29,3,55
"ORF017","RA",37516,98,44,3,56
"ORF017","RA",37651,98,53,3,57
"KGF002","FirstConc",37549,98,56,3,58
"ERF002","PostPair10",37558,98,59,3,59
"ERF002","RA",37613,98,61,3,60
"KGF002","FirstConc",37520,98,62,3,61
"KGF002","FirstConc",37577,98,71,3,62
"ERF002","RA",37796,99,15,3,63
"ORF017","RA",37809,99,28,3,64
"ORF017","RA",37999,99,60,3,65
"ERF002","RA",37998,99,80,3,66
"ERF002","FirstConc",38511,100,17,3,67
"ERF002","RA",38321,100,18,3,68
"ORF017","RA",38545,100,37,3,69
"ERF002","PreEviction16",38441,100,40,3,70
"KGF002","PreEviction16",38445,100,41,3,71
"KGF002","PreEviction16",38507,100,53,3,72
"ERF002","RA",38196,100,70,3,73
"ERF002","FirstConc",38698,101,11,3,74
"ORF017","RA",38831,101,20,3,75
"ERF002","FirstConc",38567,101,27,3,76
"ERF002","FirstConc",38727,101,42,3,77
"ERF002","FirstConc",38643,101,45,3,78
"ORF017","RA",38717,101,57,3,79
"KGF002","PostEviction14",38832,101,63,3,80
"KGF002","PreEviction16",38552,101,69,3,81
"ERF002","RA",38598,101,74,3,82
"KGF002","PostEviction14",38569,101,79,3,83
"ERF002","FirstConc",38665,101,80,3,84
"ERF002","PostEviction14",38764,102,3,3,85
"ORF017","RA",39112,102,17,3,86
"ORF017","RA",39694,102,18,3,87
"ORF017","RA",39543,102,19,3,88
"ORF017","PostEviction14",39317,102,21,3,89
"VGF002","PreEviction16",38912,102,24,3,90
"ORF017","RA",39370,102,27,3,91
"VGF002","PreEviction16",39048,102,28,3,92
"ORF017","PostEviction14",39128,102,32,3,93
"ORF017","PreEviction16",39040,102,33,3,94
"VGF002","PreEviction16",39108,102,74,3,95
"ORF017","RA",39219,102,75,3,96
