"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",5,-335,"PostPair10",NA,NA,32767,2,10,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",7,-333,"PostPair10",NA,NA,32788,2,12,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",9,-331,"PostPair10",NA,NA,32809,2,2,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",13,-327,"RA",NA,NA,32862,2,25,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",27,-313,"RA",NA,NA,33076,2,28,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",41,-299,"RA",NA,NA,33280,2,36,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",55,-285,"RA",NA,NA,33491,2,45,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",71,-269,"RA",NA,NA,33714,2,50,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",83,-257,"RA",NA,NA,33894,2,52,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",97,-243,"RA",NA,NA,34085,2,55,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",111,-229,"RA",NA,NA,34300,2,61,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",118,-222,"PreEviction16",NA,NA,34383,2,73,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",132,-208,"PreEviction16","RA",NA,34593,3,5,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",134,-206,"PostEviction14",NA,NA,34623,2,78,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",140,-200,"RA",NA,NA,34712,2,81,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",146,-194,"RA",NA,NA,34786,2,80,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",162,-178,"PostEviction14","RA",NA,34981,3,1,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",182,-158,"RA",NA,NA,35238,3,9,100
"Slow_PreFirst",11,"Guinness","Queen","RSF008","Helper","Evictor",197,-143,"RA",NA,NA,35442,3,12,100
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",1,-93,"PostPair10","FirstConc",NA,36466,3,24,100
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",3,-91,"PostPair10","FirstConc",NA,36496,3,29,100
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",5,-89,"PostPair10","FirstConc",NA,36523,3,40,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",7,-87,"PostPair10","FirstConc",NA,36555,3,31,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",9,-85,"PostPair10","FirstConc",NA,36588,3,36,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",11,-83,"FirstConc",NA,NA,36618,3,38,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",13,-81,"FirstConc",NA,NA,36650,3,41,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",196,-9,"PreEviction16",NA,NA,38912,3,90,50
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",205,NA,"PreEviction16",NA,NA,39048,3,92,100
"Slow_None",22,"WicklowWolf","Queen","VGF002","Breeder","Evictee",210,NA,"PreEviction16",NA,NA,39108,3,95,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",1,NA,"PostPair10",NA,NA,36474,3,28,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",3,NA,"PostPair10",NA,NA,36505,3,34,100
"Slow_None",22,"WicklowWolf","Queen","ORF017","Helper","Evictor",5,NA,"PostPair10",NA,NA,36532,3,35,100
