"UrineNumber","SampleReason","Date","BoxID","BoxPosition","Comments","Sampling_Cat","ExperimentalGroup","ExperimentalUnit","AnimalID","Treatment","Sex","BS_Original","EvictionStatus","EvictionDate","UrineKingRemoval_DayDiff","UrineLastParturitionOirginalGroup_DayDiff","UrineIsol_DayDiff","UrinePairing_DayDiff","UrineEviction_DayDiff","UrineFirstConception_DayDiff","NextLitter_IndCount_Total","NextLitter_IndCount_Colony","UrineParturition_DayDiff","GestationStatus_Trimester","UrineDate"
30972,"PreIsol1",NA,NA,NA,NA,"Slow_Conc","Licher",1,"RRF004","Queen","F","Helper","Evictor",2022-04-28,NA,26,0,-28,-100,-109,1,1,-194,"PreFirstConception",2022-01-18
30970,"PreIsol1",NA,NA,NA,NA,"Rapid_PreFirst","DarlingBrew",4,"RRF006","Sub","F","Helper","Evictor",2022-03-08,NA,26,0,-28,-49,-80,1,1,-165,"PreFirstConception",2022-01-18
30971,"PreIsol1",NA,NA,NA,NA,"Rapid_PreFirst","DarlingBrew",4,"RRF010","Sub","F","Helper","Evictee",2022-03-08,NA,26,0,-28,-49,NA,NA,NA,NA,"NotPregnant",2022-01-18
32235,"PreIsol1",2024-01-24,79,60,"","Slow_PreFirst","Guinness",11,"RSF008","Queen","F","Helper","Evictor",2022-10-14,NA,51,-8,-36,-169,-291,1,1,-376,"PreFirstConception",2022-04-28
32233,"PreIsol1",NA,NA,NA,NA,"Slow_PreFirst","Corbeau",9,"SOF001","Queen","F","Helper","Evictor",2023-01-16,NA,53,-8,-36,-263,-307,1,1,-392,"PreFirstConception",2022-04-28
32239,"PreIsol1",2024-01-24,79,55,"","Rapid_PreFirst","Firestone",10,"SOF002","Sub","F","Helper","Evictee",2022-06-07,NA,53,-8,-36,-40,NA,NA,NA,NA,"NotPregnant",2022-04-28
32234,"PreIsol1",2024-01-24,80,6,"","Rapid_PreFirst","Firestone",10,"SOF006","Sub","F","Helper","Evictor",2022-06-07,NA,53,-8,-36,-40,-150,NA,NA,-236,"NotPregnant",2022-04-28
36859,"PreIsol1",2024-01-24,95,23,"","Rapid_Conc","Asahi",23,"TIF025","Sub","F","Helper","Evictee",2023-05-10,NA,175,-9,-42,-42,NA,NA,NA,NA,"NotPregnant",2023-03-29
36982,"PreIsol1",2024-01-24,96,6,"","Rapid_Conc","Featherstone",24,"TIF036","Sub","F","Helper","Evictor",2023-05-14,NA,184,0,-33,-37,-45,1,1,-130,"PreFirstConception",2023-04-07
36985,"PreIsol1",2024-01-24,95,74,"","Rapid_Conc","Featherstone",24,"TIF038","Sub","F","Helper","Evictee",2023-05-14,NA,184,0,-33,-37,NA,NA,NA,NA,"NotPregnant",2023-04-07
36983,"PreIsol1",2024-01-24,95,62,"","Rapid_Conc","Asahi",23,"TIF039","Sub","F","Helper","Evictor",2023-05-10,NA,184,0,-33,-33,-46,1,1,-131,"PreFirstConception",2023-04-07
