"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",59,-183,"RA",NA,NA,33013,2,21,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",66,-176,"RA",NA,NA,33119,2,35,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",80,-162,"RA",NA,NA,33330,2,33,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",101,-141,"RA",NA,NA,33636,2,48,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",115,-127,"RA",NA,NA,33844,2,57,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",129,-113,"RA",NA,NA,34036,2,54,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",136,-106,"PreEviction16",NA,NA,34142,2,64,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",143,-99,"PreEviction16","FirstConc","RA",34240,2,71,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",150,-92,"PreEviction16","FirstConc",NA,34337,2,72,100
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",153,-89,"PostEviction14","FirstConc","RA",34379,2,66,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",155,-87,"FirstConc",NA,NA,34407,2,62,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",157,-85,"FirstConc",NA,NA,34437,2,77,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",159,-83,"FirstConc",NA,NA,34462,2,67,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",161,-81,"FirstConc",NA,NA,34489,2,60,50
"Slow_Conc",6,"BlackLabel","Queen","TMF002","Helper","Evictor",166,-76,"PostEviction14",NA,NA,34570,3,2,50
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",1,-188,"PostPair10",NA,NA,37443,3,50,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",3,-186,"PostPair10",NA,NA,37473,3,53,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",5,-184,"PostPair10",NA,NA,37488,3,51,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",7,-182,"PostPair10",NA,NA,37532,3,55,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",9,-180,"PostPair10",NA,NA,37558,3,59,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",13,-176,"RA",NA,NA,37613,3,60,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",26,-163,"RA",NA,NA,37796,3,63,100
"Slow_Conc",17,"Leffe","Queen","ERF002","Helper","Evictor",41,-148,"RA",NA,NA,37998,3,66,100
