"ExperimentalGroup","AnimalID","Sex","Treatment","BS_Original","EvictionStatus","IsolationDate","IsolationPeriod","PairingDate","EvictionDate","EvictionPairingDayDiff","Eviction_GS","EvictionCategory","FirstDCParturitionDate","UrineDate","UrineNumber","UrineDelay","VolumeCollected","NextParturition_ParturitionDate","NextParturition_ParturitionColony"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-04-26,32201,NA,1.3,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-01,32264,NA,1.4,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-02,32276,NA,1.6,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-04,32304,NA,1.7,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-07,32343,NA,1.2,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-10,32380,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-13,32436,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-15,32451,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-17,32484,NA,2.5,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-20,32524,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-22,32558,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-25,32591,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-28,32631,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-05-31,32668,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-02,32690,NA,1.1,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-04,32716,NA,1.6,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-06,32741,NA,1.3,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-08,32765,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-10,32789,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-12,32810,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-14,32840,NA,1.2,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-16,32863,NA,1.7,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-18,32893,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-20,32924,NA,1.6,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-22,32953,NA,1.4,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-24,32981,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-06-30,33077,NA,1.7,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-07-07,33182,NA,1.3,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-07-14,33281,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-07-21,33388,NA,1.2,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-07-28,33497,NA,1.7,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-08-04,33592,NA,1.7,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-08-13,33724,NA,1.8,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-08-18,33795,NA,1,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-08-19,33810,NA,1.3,2022-10-02,"Guinness"
"Guinness","DRF015","F","Queen","Breeder","Evictee",2022-05-06,28,2022-06-03,2022-10-14,133,NA,"Late",2022-10-02,2022-08-25,33895,NA,1.5,2022-10-02,"Guinness"
