"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"Rapid_Conc",16,"Stella","Queen","MIF008","Helper","Evictee",20,NA,"PostEviction14",NA,NA,34028,1,78,100
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",1,-93,"PostPair10","PreEviction16","FirstConc",33764,1,63,100
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",2,-92,"PostEviction14","FirstConc",NA,33776,1,59,100
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",4,-90,"FirstConc",NA,NA,33808,1,51,50
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",6,-88,"FirstConc",NA,NA,33838,1,66,50
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",8,-86,"FirstConc",NA,NA,33870,1,80,50
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",10,-84,"FirstConc",NA,NA,33896,1,71,50
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",12,-82,"FirstConc",NA,NA,33929,1,73,50
"Rapid_Conc",16,"Stella","Queen","TSF048","Breeder","Evictor",20,-74,"PostEviction14",NA,NA,34025,1,74,50
"Rapid_Conc",19,"Corona","Queen","GOF025","Breeder","Evictee",2,NA,"PostEviction14",NA,NA,36492,2,28,100
"Rapid_Conc",19,"Corona","Queen","GOF025","Breeder","Evictee",15,NA,"PostEviction14",NA,NA,36672,2,30,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",1,-101,"PostPair10","PreEviction16",NA,36467,2,24,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",2,-100,"PostEviction14","FirstConc",NA,36479,2,27,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",3,-99,"FirstConc",NA,NA,36499,2,26,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",5,-97,"FirstConc",NA,NA,36530,2,40,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",7,-95,"FirstConc",NA,NA,36554,2,29,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",9,-93,"FirstConc",NA,NA,36583,2,33,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",11,-91,"FirstConc",NA,NA,36613,2,51,100
"Rapid_Conc",19,"Corona","Queen","ABF002","Helper","Evictor",13,-89,"FirstConc","RA",NA,36644,2,32,50
