"AnimalID","R1","R2","R3","UrineNumber","BoxID","BoxPosition","NewBox","NewPosition"
"MBF003","PostPair10","PreEviction16","FirstConc",36470,93,23,2,22
"ORF005","PostPair10","PreEviction16",NA,36475,93,24,2,23
"ABF002","PostPair10","PreEviction16",NA,36467,93,33,2,24
"ORF018","PostPair10","PreEviction16",NA,36468,93,70,2,25
"ABF002","FirstConc",NA,NA,36499,93,72,2,26
"ABF002","PostEviction14","FirstConc",NA,36479,93,75,2,27
"GOF025","PostEviction14",NA,NA,36492,93,76,2,28
"ABF002","FirstConc",NA,NA,36554,94,13,2,29
"GOF025","PostEviction14",NA,NA,36672,94,17,2,30
"MBF003","FirstConc",NA,NA,36649,94,18,2,31
"ABF002","FirstConc","RA",NA,36644,94,20,2,32
"ABF002","FirstConc",NA,NA,36583,94,22,2,33
"MBF003","FirstConc",NA,NA,36619,94,24,2,34
"ORF018","PostPair10","PreEviction16",NA,36528,94,25,2,35
"ORF005","PostEviction14","FirstConc",NA,36565,94,26,2,36
"ORF018","PostEviction14",NA,NA,36562,94,29,2,37
"MBF006","PostPair10","PreEviction16",NA,36536,94,31,2,38
"MBF003","PostPair10","PreEviction16","FirstConc",36503,94,42,2,39
"ABF002","FirstConc",NA,NA,36530,94,43,2,40
"ORF005","FirstConc",NA,NA,36625,94,44,2,41
"MBF006","PostPair10","PreEviction16",NA,36506,94,50,2,42
"ORF005","PostPair10","PreEviction16","FirstConc",36507,94,56,2,43
"MBF006","PostEviction14",NA,NA,36593,94,57,2,44
"ORF005","PostPair10","PreEviction16","FirstConc",36529,94,59,2,45
"MBF006","PostPair10","PreEviction16",NA,36552,94,67,2,46
"ORF018","PostPair10","PreEviction16",NA,36501,94,70,2,47
"ABF002","PostEviction14","FirstConc",NA,36671,94,72,2,48
"ORF005","FirstConc","RA",NA,36655,94,74,2,49
"MBF003","PostPair10","PreEviction16","FirstConc",36533,94,76,2,50
"ABF002","FirstConc",NA,NA,36613,95,4,2,51
"MBF003","FirstConc",NA,NA,36670,95,5,2,52
"MBF003","PostEviction14","FirstConc",NA,36586,95,7,2,53
"MBF003","PostPair10","PreEviction16","FirstConc",36551,95,8,2,54
"ORF005","FirstConc",NA,NA,36744,95,20,2,55
"MBF006","PostEviction14",NA,NA,36884,95,24,2,56
"ORF018","PostEviction14",NA,NA,36887,95,39,2,57
"ORF005","FirstConc",NA,NA,36683,95,58,2,58
"ORF005","FirstConc",NA,NA,36713,95,72,2,59
"MBF003","PostEviction14",NA,NA,36880,96,3,2,60
"TIF039","PostEviction14","FirstConc",NA,37439,97,11,2,61
"BEF006","PostPair10","FirstConc",NA,37491,97,16,2,62
"TIF039","FirstConc",NA,NA,37459,97,26,2,63
"BEF036","PostPair10",NA,NA,37436,97,44,2,64
"BEF006","PostPair10","FirstConc",NA,37467,97,53,2,65
"DVF061","RA",NA,NA,37460,97,59,2,66
"TIF025","PostEviction14",NA,NA,37440,97,68,2,67
"TIF038","PostPair10","PreEviction16",NA,37472,97,69,2,68
"TIF038","PostPair10","PreEviction16",NA,37442,97,73,2,69
"BEF006","PostPair10","FirstConc",NA,37435,97,76,2,70
"TIF036","PostPair10","PreEviction16","FirstConc",37434,98,2,2,71
"TIF036","PostPair10","PreEviction16","FirstConc",37469,98,5,2,72
"BEF036","PostPair10",NA,NA,37468,98,8,2,73
"TIF036","FirstConc",NA,NA,37673,98,10,2,74
"BEF036","RA",NA,NA,37616,98,13,2,75
"BEF036","PostPair10",NA,NA,37553,98,15,2,76
"BEF006","PostPair10","FirstConc",NA,37559,98,21,2,77
"DVF061","RA",NA,NA,37592,98,24,2,78
"TIF039","FirstConc",NA,NA,37499,98,25,2,79
"TIF036","FirstConc",NA,NA,37548,98,28,2,80
"TIF036","PostEviction14","FirstConc",NA,37500,98,30,2,81
"BEF006","FirstConc",NA,NA,37641,98,35,3,1
"TIF039","FirstConc",NA,NA,37578,98,36,3,2
"TIF038","PostEviction14",NA,NA,37502,98,37,3,3
"BEF006","FirstConc",NA,NA,37584,98,40,3,4
"TIF039","FirstConc",NA,NA,37554,98,41,3,5
"BEF006","PostPair10","FirstConc",NA,37519,98,47,3,6
"TIF025","PostEviction14",NA,NA,37671,98,49,3,7
"TIF036","FirstConc",NA,NA,37608,98,55,3,8
"BEF036","PostPair10",NA,NA,37496,98,64,3,9
"TIF036","FirstConc",NA,NA,37524,98,65,3,10
"BEF036","PostPair10",NA,NA,37523,98,66,3,11
"BEF006","FirstConc",NA,NA,37610,98,67,3,12
"TIF036","FirstConc",NA,NA,37582,98,69,3,13
"TIF036","FirstConc",NA,NA,37637,98,70,3,14
"TIF039","PostEviction14","FirstConc",NA,37645,98,80,3,15
"TIF039","FirstConc",NA,NA,37526,99,4,3,16
"TIF039","FirstConc",NA,NA,37670,99,5,3,17
"TIF039","FirstConc",NA,NA,37609,99,9,3,18
"BEF036","RA",NA,NA,37797,99,44,3,19
"DVF061","RA",NA,NA,38091,99,54,3,20
"BEF036","RA",NA,NA,38003,99,55,3,21
"DVF061","RA",NA,NA,37834,100,6,3,22
