"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",9,-432,"PostPair10",NA,NA,33879,1,75,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",13,-428,"RA",NA,NA,33934,1,76,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",29,-412,"RA",NA,NA,34161,2,13,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",42,-399,"RA",NA,NA,34339,2,10,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",56,-385,"RA",NA,NA,34558,2,16,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",70,-371,"RA",NA,NA,34741,2,14,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",84,-357,"RA",NA,NA,34927,2,15,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",98,-343,"RA",NA,NA,35094,2,18,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",112,-329,"RA",NA,NA,35281,2,19,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",126,-315,"RA",NA,NA,35473,2,17,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",149,-292,"RA",NA,NA,35744,2,21,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",162,-279,"RA",NA,NA,35939,2,20,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",271,-170,"RA",NA,NA,37460,2,66,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",280,-161,"RA",NA,NA,37592,2,78,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",297,-144,"RA",NA,NA,37834,3,22,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",316,-125,"RA",NA,NA,38091,3,20,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",333,-108,"RA",NA,NA,38301,3,29,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",347,-94,"FirstConc","RA",NA,38426,3,26,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",354,-87,"FirstConc",NA,NA,38484,3,28,50
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",360,-81,"FirstConc",NA,NA,38543,3,27,50
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",1,-95,"PostPair10","FirstConc",NA,37435,2,70,100
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",3,-93,"PostPair10","FirstConc",NA,37467,2,65,100
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",5,-91,"PostPair10","FirstConc",NA,37491,2,62,100
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",7,-89,"PostPair10","FirstConc",NA,37519,3,6,50
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",9,-87,"PostPair10","FirstConc",NA,37559,2,77,50
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",11,-85,"FirstConc",NA,NA,37584,3,4,50
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",13,-83,"FirstConc",NA,NA,37610,3,12,50
"NoEviction",25,"Lion","Sub","BEF006","Helper","InGroup",15,-81,"FirstConc",NA,NA,37641,3,1,50
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",1,-180,"PostPair10",NA,NA,37436,2,64,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",3,-178,"PostPair10",NA,NA,37468,2,73,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",5,-176,"PostPair10",NA,NA,37496,3,9,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",7,-174,"PostPair10",NA,NA,37523,3,11,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",9,-172,"PostPair10",NA,NA,37553,2,76,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",13,-168,"RA",NA,NA,37616,2,75,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",26,-155,"RA",NA,NA,37797,3,19,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",41,-140,"RA",NA,NA,38003,3,21,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",55,-126,"RA",NA,NA,38190,3,25,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",69,-112,"RA",NA,NA,38346,3,30,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",83,-98,"FirstConc","RA",NA,38460,3,23,100
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",91,-90,"FirstConc",NA,NA,38536,3,24,50
"NoEviction",25,"Lion","Sub","BEF036","Helper","InGroup",98,-83,"FirstConc",NA,NA,38603,3,31,50
